엔에스엠-01011872-238170-20240312000771, len:0 section2:0
큐러블-00548519-086460-20240321001783, len:0 section2:0
세아홀딩스-00377610-058650-20240514001668, len:0 section2:0
루켄테크놀러지스-00886792-162120-20240318000670, len:0 section2:0
HLB사이언스-01413371-343090-20240318000626, len:0 section2:0
소룩스-00605522-290690-20240516001883, len:0 section2:0
골프존데카-00764807-183410-20240321000946, len:0 section2:0
노드메이슨-01328170-317860-20240320001631, len:0 section2:0
큐라켐-01205514-456190-20240306000708, len:0 section2:0
오리엔트바이오-00141626-002630-20240620000211, len:0 section2:0
태양기계-00442631-116100-20240321001263, len:0 section2:0
세븐브로이맥주-01575361-267080-20240321001838, len:0 section2:0
서희건설-00219848-035890-20240516000947, len:0 section2:0
카이바이오텍-01671601-446600-20240318000428, len:0 section2:0
뉴아세아-00138695-013340-20240401004360, len:0 section2:0
코리아나-00152589-027050-20240516001082, len:0 section2:0
더콘텐츠온-00991225-302920-20240321001908, len:0 section2:0
삼성머스트기업인수목적5호-01534522-380320-20240318000598, len:0 section2:0
셀피글로벌-00308896-068940-20240516001072, len:0 section2:0
HD현대미포-00164609-010620-20240516000638, len:0 section2:0
머니무브-00978075-179720-20240319000167, len:0 section2:0
마스턴프리미어리츠-01442966-357430-20240613000355, len:0 section2:0
퓨쳐메디신-01185867-341170-20240321001801, len:0 section2:0
테라사이언스-00373021-073640-20240726000442, len:147 section2:1
NPX-01037542-222160-20240614000043, len:0 section2:0
대신정보통신-00110875-020180-20240613000108, len:0 section2:0
CJ ENM-00265324-035760-20240516001775, len:0 section2:0
신한알파리츠-01276594-293940-20240611000305, len:0 section2:0
푸른소나무-00410739-057880-20240529000287, len:0 section2:0
디피코-01072518-163430-20240408004154, len:0 section2:0
ITX-AI-00627029-099520-20240625000146, len:0 section2:0
로보쓰리에이아이-01118643-238500-20240509000088, len:0 section2:0
계룡건설산업-00102432-013580-20240514001489, len:0 section2:0
삼표시멘트-00239639-038500-20240516001675, len:0 section2:0
케이비제22호기업인수목적-01672053-436530-20240318000219, len:0 section2:0
클리노믹스-01201970-352770-20240517000122, len:0 section2:0
HPSP-01288827-403870-20240516001612, len:181 section2:2
메디쎄이-01018617-200580-20240315000412, len:0 section2:0
구영테크-00202060-053270-20240514000530, len:0 section2:0
애니메디솔루션-01507810-390110-20240320000248, len:0 section2:0
스카이문스테크놀로지-00276083-033790-20240516000332, len:0 section2:0
프리젠-00353230-060910-20240516000983, len:9 section2:1
신영해피투모로우제7호기업인수목적-01612608-419270-20240306000437, len:0 section2:0
에이아이더뉴트리진-01290132-311960-20240327001179, len:0 section2:0
태영건설-00153861-009410-20240516001831, len:0 section2:0
일월지엠엘-00923826-178780-20240718000081, len:0 section2:0
대주이엔티-00414540-114920-20240321001616, len:0 section2:0
한국미라클피플사-01363924-331660-20240321001923, len:0 section2:0
루트로닉-00549925-085370-20240429001130, len:0 section2:0
테크엔-01016886-308700-20240701000025, len:0 section2:0
큐라티스-01357765-348080-20240528000449, len:0 section2:0
엔에이치기업인수목적20호-01573974-391060-20240318000255, len:0 section2:0
KG모빌리티-00138242-003620-20240516000378, len:0 section2:0
쇼박스-00303794-086980-20240516000994, len:0 section2:0
KCC건설-00105466-021320-20240516001486, len:0 section2:0
엠에스오토텍-00259545-123040-20240516000437, len:0 section2:0
